last_active,score,member_since,us_state,first_name,last_name,dob,state,company_name,source,company_name
2018/04/15,76,1976,New Jersey,Laura,Howard,1989/04/26,NJ,"Smith, Torres and Matthews",us_softball_league,"Smith, Torres and Matthews"
2018/04/23,47,1978,Washington,Samantha,Jackson,1986/11/05,WA,Bruce Inc,us_softball_league,Bruce Inc
2018/01/29,43,1985,Ohio,Christopher,Navarro,1997/07/10,OH,Rivera Ltd,us_softball_league,Rivera Ltd
2018/08/23,40,1976,Pennsylvania,Laura,Hawkins,1995/11/15,PA,Peterson and Sons,us_softball_league,Peterson and Sons
2018/09/18,37,1983,New Jersey,Sabrina,Fields,1987/02/04,NJ,Scott and Sons,us_softball_league,Scott and Sons
2019/01/07,68,1991,Maine,Brian,Oliver,1992/03/21,ME,Mcdonald Inc,us_softball_league,Mcdonald Inc
2018/11/04,73,1992,Indiana,Ashley,Green,1996/12/20,IN,"Mullen, Huffman and Vasquez",us_softball_league,"Mullen, Huffman and Vasquez"
2018/12/27,59,1983,South Carolina,Erica,Rose,1986/04/22,SC,Rivera Ltd,us_softball_league,Rivera Ltd
2018/07/31,54,1976,North Dakota,Michael,Pena,1994/08/16,ND,Rivera-Morrow,us_softball_league,Rivera-Morrow
2018/08/20,45,1972,Hawaii,Robin,Thomas,1988/01/13,HI,"Mullen, Huffman and Vasquez",us_softball_league,"Mullen, Huffman and Vasquez"
2018/11/18,37,1973,Maine,Jessica,Lowe,1978/04/16,ME,Keller Group,us_softball_league,Keller Group
2018/07/08,55,1980,Wyoming,Travis,Miller,1990/02/27,WY,Pearson Group,us_softball_league,Pearson Group
2018/06/19,43,1975,Maine,Melanie,Frey,1998/09/06,ME,Rivera-Morrow,us_softball_league,Rivera-Morrow
2018/01/21,65,1980,North Carolina,Clinton,Decker,1993/01/13,NC,"Hopkins, Barnes and Ward",us_softball_league,"Hopkins, Barnes and Ward"
2018/08/05,65,1982,Maryland,Marcus,Nelson,1984/11/13,MD,Parker Group,us_softball_league,Parker Group
2018/06/03,58,1975,Florida,Stephanie,Scott,1978/07/29,FL,Mcdonald Inc,us_softball_league,Mcdonald Inc
2018/09/08,91,1979,New Mexico,Eric,Mann,1997/04/11,NM,"Alvarez, Schaefer and Robertson",us_softball_league,"Alvarez, Schaefer and Robertson"
2018/12/09,54,1970,Connecticut,Jennifer,Johnson,1977/09/14,CT,Bruce Inc,us_softball_league,Bruce Inc
2018/07/15,34,1982,New Mexico,Olivia,Carter,1982/01/23,NM,,us_softball_league,
2018/06/20,36,1992,Maryland,,,1994/09/22,MD,Hunter Ltd,us_softball_league,Hunter Ltd
2018/02/03,67,1972,Connecticut,Michael,Anderson,1985/07/10,CT,Keller Group,us_softball_league,Keller Group
2018/01/20,70,1990,Minnesota,Sara,Brooks,1995/03/26,MN,Hunter Ltd,us_softball_league,Hunter Ltd
2019/01/06,36,1973,Wisconsin,Brian,Bird,1977/09/25,WI,Peterson and Sons,us_softball_league,Peterson and Sons
2018/07/08,94,1976,Virginia,Jacob,Davis,1994/02/01,VA,Rivera Ltd,us_softball_league,Rivera Ltd
2018/05/25,54,1982,New Mexico,Alexandria,Martinez,1991/10/27,NM,"Martin, Mcknight and Clark",us_softball_league,"Martin, Mcknight and Clark"
2018/10/29,30,1971,New Jersey,Timothy,Smith,1997/02/22,NJ,Taylor-Alvarez,us_softball_league,Taylor-Alvarez
2018/05/09,40,1995,New Mexico,John,Morton,1997/12/22,NM,"Hopkins, Barnes and Ward",us_softball_league,"Hopkins, Barnes and Ward"
2018/08/18,76,1985,Montana,Brianna,Wagner,1989/04/01,MT,"Alvarez, Schaefer and Robertson",us_softball_league,"Alvarez, Schaefer and Robertson"
2018/02/08,84,1991,Colorado,Jeremy,Rangel,1996/04/01,CO,Peterson and Sons,us_softball_league,Peterson and Sons
2018/02/13,96,1970,Oregon,Ashley,Hoffman,1978/01/04,OR,"Mullen, Huffman and Vasquez",us_softball_league,"Mullen, Huffman and Vasquez"
2018/05/17,74,1971,Utah,Andrea,Reynolds,1991/11/20,UT,"Jackson, Carlson and Contreras",us_softball_league,"Jackson, Carlson and Contreras"
2018/04/27,80,1974,Washington,Christopher,Conner,1997/09/02,WA,Pearson Group,us_softball_league,Pearson Group
2018/06/01,91,1985,California,Michael,Holmes,1997/10/14,CA,Scott and Sons,us_softball_league,Scott and Sons
2018/09/29,48,1974,Utah,Jamie,Johnston,1980/05/27,UT,Rivera Ltd,us_softball_league,Rivera Ltd
2018/07/27,69,1977,Virginia,Natalie,Lee,1978/11/10,VA,Hunter Ltd,us_softball_league,Hunter Ltd
2018/06/15,95,1983,Missouri,David,Anderson,1992/08/09,MO,"Brown, Vasquez and Sanchez",us_softball_league,"Brown, Vasquez and Sanchez"
2018/07/18,30,1994,Indiana,Charles,Greer,1998/11/11,IN,"Mullen, Huffman and Vasquez",us_softball_league,"Mullen, Huffman and Vasquez"
2018/03/25,34,1982,Nevada,Kelly,Anderson,1990/12/06,NV,Bruce Inc,us_softball_league,Bruce Inc
2018/06/21,84,1973,Rhode Island,Kelly,Yang,1991/05/29,RI,"Smith, Torres and Matthews",us_softball_league,"Smith, Torres and Matthews"
2018/10/24,61,1981,Montana,Jessica,Macias,1992/09/15,MT,"Hopkins, Barnes and Ward",us_softball_league,"Hopkins, Barnes and Ward"
2018/02/03,93,1975,New Hampshire,Amanda,Rice,1985/01/14,NH,"Mullen, Huffman and Vasquez",us_softball_league,"Mullen, Huffman and Vasquez"
2018/10/16,41,1975,Montana,Jamie,Moore,1995/01/25,MT,Taylor-Alvarez,us_softball_league,Taylor-Alvarez
2018/03/22,76,1988,North Dakota,Valerie,Kelly,1989/04/15,ND,"Alvarez, Schaefer and Robertson",us_softball_league,"Alvarez, Schaefer and Robertson"
2018/01/09,60,1980,Colorado,Shaun,Burns,1997/10/10,CO,Bruce Inc,us_softball_league,Bruce Inc
2018/07/30,90,1982,Illinois,Sarah,Miller,1982/10/23,IL,,us_softball_league,
2018/03/14,78,1971,Oregon,Gregory,Beard,1976/06/10,OR,"Kelley, Gilbert and Jackson",us_softball_league,"Kelley, Gilbert and Jackson"
2018/12/02,44,1983,Vermont,Jeremy,Roy,1988/03/07,VT,"Jackson, Carlson and Contreras",us_softball_league,"Jackson, Carlson and Contreras"
2018/09/23,57,1987,Arizona,Sean,Scott,1998/05/14,AZ,Hunter Ltd,us_softball_league,Hunter Ltd
2018/04/15,51,1980,Alaska,James,Powers,1990/07/24,AK,"Hopkins, Barnes and Ward",us_softball_league,"Hopkins, Barnes and Ward"
2018/12/30,42,1985,West Virginia,Gerald,Zamora,1993/07/01,WV,"Jackson, Carlson and Contreras",us_softball_league,"Jackson, Carlson and Contreras"
2018/09/16,51,1989,Montana,Michael,Dickerson,1996/12/19,MT,"Alvarez, Schaefer and Robertson",us_softball_league,"Alvarez, Schaefer and Robertson"
2018/06/08,84,1983,Vermont,Randy,Hart,1998/03/08,VT,Keller Group,us_softball_league,Keller Group
2018/09/05,80,1980,Maryland,Donald,Torres,1992/06/02,MD,Hunter Ltd,us_softball_league,Hunter Ltd
2018/02/04,70,1980,Washington,,,1998/10/16,WA,Parker Group,us_softball_league,Parker Group
2018/09/28,53,1990,Louisiana,Theodore,Gray,1998/06/24,LA,"Martin, Mcknight and Clark",us_softball_league,"Martin, Mcknight and Clark"
2018/08/04,56,1979,Louisiana,Dennis,Payne,1990/02/20,LA,Bruce Inc,us_softball_league,Bruce Inc
2018/11/05,73,1970,South Carolina,Kristen,Smith,1991/10/20,SC,Keller Group,us_softball_league,Keller Group
2018/06/20,76,1973,Iowa,Lisa,Smith,1981/08/08,IA,Taylor-Alvarez,us_softball_league,Taylor-Alvarez
2018/10/30,69,1983,Arizona,Samantha,Johnson,1993/05/27,AZ,Parker Group,us_softball_league,Parker Group
2018/01/23,99,1977,Vermont,Jill,Woods,1977/08/02,VT,,us_softball_league,
2018/02/21,52,1979,Maine,Kimberly,Taylor,1983/06/04,ME,Rivera-Morrow,us_softball_league,Rivera-Morrow
2018/06/08,63,1971,Minnesota,James,Jackson,1982/05/09,MN,Parker Group,us_softball_league,Parker Group
2018/01/16,33,1976,North Dakota,Tonya,Miller,1976/04/25,ND,Peterson and Sons,us_softball_league,Peterson and Sons
2018/03/10,81,1984,Michigan,Jennifer,Crane,1985/12/16,MI,Keller Group,us_softball_league,Keller Group
2018/10/20,61,1982,Tennessee,Christina,Johnson,1997/09/19,TN,,us_softball_league,
2018/06/10,31,1994,Tennessee,Michelle,Tate,1994/02/12,TN,Rivera Ltd,us_softball_league,Rivera Ltd
2018/11/09,88,1995,Utah,Anna,Moore,1996/11/15,UT,Taylor-Alvarez,us_softball_league,Taylor-Alvarez
2018/03/21,81,1970,Nebraska,Judy,Wang,1985/05/23,NE,Williams-Stephenson,us_softball_league,Williams-Stephenson
2018/04/05,79,1986,Indiana,,,1997/02/04,IN,"Mullen, Huffman and Vasquez",us_softball_league,"Mullen, Huffman and Vasquez"
2018/12/05,52,1978,Nebraska,Christina,Branch,1996/09/16,NE,"Kelley, Gilbert and Jackson",us_softball_league,"Kelley, Gilbert and Jackson"
2018/02/21,95,1970,Idaho,Lisa,Munoz,1993/06/28,ID,"Jackson, Carlson and Contreras",us_softball_league,"Jackson, Carlson and Contreras"
2018/05/29,40,1981,Kentucky,Luis,Lewis,1994/11/02,KY,Hunter Ltd,us_softball_league,Hunter Ltd
2018/11/08,34,1972,New Hampshire,Robert,Howard,1993/03/05,NH,Peterson and Sons,us_softball_league,Peterson and Sons
2018/04/30,98,1983,Missouri,Steven,Duke,1997/09/02,MO,Hunter Ltd,us_softball_league,Hunter Ltd
2018/12/31,36,1980,Nebraska,Alexandra,Golden,1996/03/19,NE,Keller Group,us_softball_league,Keller Group
2018/08/07,78,1979,New Hampshire,Kimberly,Ortega,1986/09/18,NH,Rivera Ltd,us_softball_league,Rivera Ltd
2018/07/18,55,1972,Utah,Jodi,Gomez,1993/08/13,UT,Taylor-Alvarez,us_softball_league,Taylor-Alvarez
2018/12/17,68,1983,Alaska,Rebecca,Jensen,1989/12/08,AK,"Mullen, Huffman and Vasquez",us_softball_league,"Mullen, Huffman and Vasquez"
2018/06/19,94,1973,Idaho,,,1976/05/01,ID,Parker Group,us_softball_league,Parker Group
2018/09/11,94,1990,Nebraska,Brian,Page,1998/10/12,NE,Scott and Sons,us_softball_league,Scott and Sons
2018/05/30,64,1983,Texas,Eddie,Mckee,1996/04/04,TX,Williams-Stephenson,us_softball_league,Williams-Stephenson
2018/03/11,83,1975,Iowa,John,Bray,1984/07/30,IA,"Jackson, Carlson and Contreras",us_softball_league,"Jackson, Carlson and Contreras"
2018/05/09,98,1986,Georgia,Patrick,Roberson,1996/07/28,GA,"Alvarez, Schaefer and Robertson",us_softball_league,"Alvarez, Schaefer and Robertson"
2018/12/22,90,1970,New Mexico,Meghan,Daugherty,1993/02/09,NM,"Jackson, Carlson and Contreras",us_softball_league,"Jackson, Carlson and Contreras"
2018/11/10,66,1981,New Mexico,Laura,Miller,1982/04/15,NM,Keller Group,us_softball_league,Keller Group
2018/02/12,94,1975,Montana,Eric,Esparza,1982/01/01,MT,"Hopkins, Barnes and Ward",us_softball_league,"Hopkins, Barnes and Ward"
2018/07/06,55,1990,Michigan,Alexis,Jones,1998/04/07,MI,Parker Group,us_softball_league,Parker Group
2018/04/14,98,1996,Louisiana,Ashley,Phillips,1997/08/01,LA,"Hopkins, Barnes and Ward",us_softball_league,"Hopkins, Barnes and Ward"
2018/02/26,42,1987,Missouri,Anna,Hudson,1989/07/15,MO,,us_softball_league,
2018/12/07,93,1977,Florida,Crystal,Martinez,1979/07/01,FL,"Jackson, Carlson and Contreras",us_softball_league,"Jackson, Carlson and Contreras"
2018/07/24,66,1970,Vermont,William,Cook,1989/07/22,VT,Parker Group,us_softball_league,Parker Group
2018/02/13,91,1980,Oklahoma,John,Patton,1982/06/04,OK,Bruce Inc,us_softball_league,Bruce Inc
2018/06/17,47,1978,Maine,Jonathan,Bates,1983/12/15,ME,Rivera Ltd,us_softball_league,Rivera Ltd
2018/10/04,77,1971,Louisiana,Richard,Brown,1998/01/24,LA,"Mullen, Huffman and Vasquez",us_softball_league,"Mullen, Huffman and Vasquez"
2018/12/11,82,1974,Vermont,Andrew,Oliver,1989/07/05,VT,Peterson and Sons,us_softball_league,Peterson and Sons
2018/10/25,86,1971,West Virginia,Taylor,Vazquez,1978/12/17,WV,"Smith, Torres and Matthews",us_softball_league,"Smith, Torres and Matthews"
2018/10/28,63,1971,Louisiana,,,1997/07/11,LA,"Kelley, Gilbert and Jackson",us_softball_league,"Kelley, Gilbert and Jackson"
2018/05/10,49,1986,Rhode Island,Shelly,Joseph,1988/01/10,RI,,us_softball_league,
2018/03/26,97,1974,South Carolina,Christopher,Buchanan,1978/04/11,SC,Rivera-Morrow,us_softball_league,Rivera-Morrow
2018/06/30,81,1990,Texas,Samuel,Allen,1995/11/12,TX,"Kelley, Gilbert and Jackson",us_softball_league,"Kelley, Gilbert and Jackson"
2018/05/02,88,1974,North Dakota,Jennifer,Cline,1979/04/13,ND,"Alvarez, Schaefer and Robertson",us_softball_league,"Alvarez, Schaefer and Robertson"
2018/03/17,62,1989,Virginia,Jordan,Jimenez,1992/12/14,VA,"Kelley, Gilbert and Jackson",us_softball_league,"Kelley, Gilbert and Jackson"
2018/08/23,88,1973,Washington,Bianca,Clayton,1988/06/04,WA,Rivera-Morrow,us_softball_league,Rivera-Morrow
2018/09/10,68,1973,South Dakota,Andrew,Lucas,1990/06/27,SD,"Martin, Mcknight and Clark",us_softball_league,"Martin, Mcknight and Clark"
2018/03/17,88,1973,Pennsylvania,Jonathan,Rodriguez,1995/10/26,PA,Keller Group,us_softball_league,Keller Group
2018/09/26,96,1982,Arkansas,Tina,Spears,1996/06/27,AR,Pearson Group,us_softball_league,Pearson Group
2018/05/03,86,1977,North Carolina,David,Kennedy,1978/10/05,NC,Mcdonald Inc,us_softball_league,Mcdonald Inc
2018/06/02,68,1988,New Hampshire,Eddie,Jackson,1992/07/18,NH,Hunter Ltd,us_softball_league,Hunter Ltd
2018/01/21,84,1972,Michigan,Michael,Mitchell,1995/07/18,MI,"Jackson, Carlson and Contreras",us_softball_league,"Jackson, Carlson and Contreras"
2018/12/14,32,1975,Idaho,Courtney,Brown,1994/02/17,ID,Rivera-Morrow,us_softball_league,Rivera-Morrow
2018/08/09,48,1972,Michigan,Daniel,Hancock,1997/03/02,MI,"Mullen, Huffman and Vasquez",us_softball_league,"Mullen, Huffman and Vasquez"
