last_active,score,member_since,us_state,first_name,last_name,dob,state,company_name,source
2018/07/04,84,1989,Illinois,Mikayla,Brennan,1966/11/02,IL,Keller Group,us_softball_league
2018/05/15,92,1972,Wisconsin,Thomas,Holmes,1962/11/29,WI,"Brown, Vasquez and Sanchez",us_softball_league
2018/08/25,47,2007,New Mexico,Corey,Jones,1964/12/20,NM,"Alvarez, Schaefer and Robertson",us_softball_league
2018/04/15,76,1976,New Jersey,Laura,Howard,1989/04/26,NJ,"Smith, Torres and Matthews",us_softball_league
2018/05/10,56,1986,Rhode Island,Daniel,Mclaughlin,1966/06/19,RI,"Mullen, Huffman and Vasquez",us_softball_league
2018/06/15,37,2013,Vermont,Patrick,Patrick,1971/08/09,VT,"Alvarez, Schaefer and Robertson",us_softball_league
2019/01/02,89,1971,Wisconsin,Robert,Browning,1961/02/02,WI,Bruce Inc,us_softball_league
2018/11/17,56,1980,Indiana,Don,Johnson,1962/05/02,IN,Keller Group,us_softball_league
2018/10/21,33,1993,Tennessee,Traci,Anderson,1987/06/14,TN,Williams-Stephenson,us_softball_league
2018/11/13,46,2011,Ohio,Shelley,Navarro,1969/09/11,OH,Rivera-Morrow,us_softball_league
2018/01/31,31,1991,Connecticut,Peggy,Copeland,1982/08/03,CT,Peterson and Sons,us_softball_league
2018/08/20,62,2015,New Mexico,Kayla,Lopez,1997/11/23,NM,"Jackson, Carlson and Contreras",us_softball_league
2018/08/25,59,2008,Ohio,Sheila,Bell,1988/04/27,OH,,us_softball_league
2018/05/19,96,2013,Maine,Joseph,Harvey,1990/04/12,ME,"Hopkins, Barnes and Ward",us_softball_league
2018/04/28,63,1985,New York,Amber,Garcia,1982/05/25,NY,Peterson and Sons,us_softball_league
2018/12/30,75,1997,Arizona,Christine,Delacruz,1967/01/09,AZ,Peterson and Sons,us_softball_league
2018/02/19,73,2013,Idaho,,,1992/08/18,ID,Williams-Stephenson,us_softball_league
2018/04/23,47,1978,Washington,Samantha,Jackson,1986/11/05,WA,Bruce Inc,us_softball_league
2018/02/21,87,2011,Alabama,Charles,Williams,1966/12/27,AL,"Smith, Torres and Matthews",us_softball_league
2018/01/29,43,1985,Ohio,Christopher,Navarro,1997/07/10,OH,Rivera Ltd,us_softball_league
2018/08/23,40,1976,Pennsylvania,Laura,Hawkins,1995/11/15,PA,Peterson and Sons,us_softball_league
2018/09/18,37,1983,New Jersey,Sabrina,Fields,1987/02/04,NJ,Scott and Sons,us_softball_league
2018/02/05,81,1986,New York,Mary,Tanner,1976/05/25,NY,"Kelley, Gilbert and Jackson",us_softball_league
2019/01/07,68,1991,Maine,Brian,Oliver,1992/03/21,ME,Mcdonald Inc,us_softball_league
2018/12/09,46,1995,Mississippi,Julie,Walker,1990/02/22,MS,Bruce Inc,us_softball_league
2018/08/25,57,1993,Pennsylvania,Marissa,Chandler,1965/10/12,PA,"Smith, Torres and Matthews",us_softball_league
2018/09/03,30,2014,South Dakota,Jacob,Kennedy,1972/08/04,SD,"Brown, Vasquez and Sanchez",us_softball_league
2018/07/17,75,1992,South Dakota,Denise,Webster,1973/03/28,SD,Mcdonald Inc,us_softball_league
2018/09/29,49,2006,Maine,Justin,Jones,1996/06/27,ME,Williams-Stephenson,us_softball_league
2018/02/22,36,2006,North Carolina,Darryl,Green,1969/08/15,NC,Pearson Group,us_softball_league
2018/03/25,94,2018,South Carolina,Cynthia,Mason,1959/07/08,SC,"Hopkins, Barnes and Ward",us_softball_league
2018/11/04,73,1992,Indiana,Ashley,Green,1996/12/20,IN,"Mullen, Huffman and Vasquez",us_softball_league
2018/10/23,50,1981,Vermont,Charles,Keith,1969/08/11,VT,Parker Group,us_softball_league
2018/11/17,42,1982,Texas,Dennis,Stevens,1965/08/07,TX,"Brown, Vasquez and Sanchez",us_softball_league
2018/05/20,89,2001,Arizona,Emily,Harmon,1996/12/01,AZ,"Smith, Torres and Matthews",us_softball_league
2018/03/02,46,2011,Mississippi,Gordon,Hines,1962/07/08,MS,Mcdonald Inc,us_softball_league
2018/12/27,59,1983,South Carolina,Erica,Rose,1986/04/22,SC,Rivera Ltd,us_softball_league
2018/12/27,68,2001,New Hampshire,Matthew,Brandt,1976/03/19,NH,Pearson Group,us_softball_league
2018/07/31,54,1976,North Dakota,Michael,Pena,1994/08/16,ND,Rivera-Morrow,us_softball_league
2018/05/19,34,2000,West Virginia,Eddie,Paul,1994/05/05,WV,Rivera-Morrow,us_softball_league
2018/05/07,61,2014,North Dakota,Angela,Saunders,1973/07/23,ND,,us_softball_league
2018/10/18,48,1977,Florida,Jason,Brown,1969/09/29,FL,Taylor-Alvarez,us_softball_league
2018/02/09,63,2006,Oklahoma,Amanda,Garcia,1981/11/18,OK,Pearson Group,us_softball_league
2018/04/14,75,2016,South Carolina,Amanda,Lowe,1969/09/23,SC,Williams-Stephenson,us_softball_league
2018/02/15,79,2009,Connecticut,Austin,Smith,1967/01/10,CT,Pearson Group,us_softball_league
2018/08/20,45,1972,Hawaii,Robin,Thomas,1988/01/13,HI,"Mullen, Huffman and Vasquez",us_softball_league
2018/11/06,89,1989,Tennessee,Monique,Owens,1982/03/04,TN,Keller Group,us_softball_league
2019/01/05,93,1985,Mississippi,Wesley,Nelson,1959/11/15,MS,Parker Group,us_softball_league
2018/04/09,70,2009,Georgia,Alyssa,Burns,1965/01/28,GA,Scott and Sons,us_softball_league
2018/12/04,89,1986,Maine,Richard,Carter,1965/05/22,ME,Keller Group,us_softball_league
2018/02/03,75,2013,New Mexico,Jennifer,White,1980/09/18,NM,"Hopkins, Barnes and Ward",us_softball_league
2018/02/12,59,2015,Alaska,Juan,Dean,1990/01/28,AK,"Mullen, Huffman and Vasquez",us_softball_league
2018/07/12,63,2014,Oklahoma,Lisa,Dixon,1978/12/13,OK,Parker Group,us_softball_league
2018/12/24,87,2004,California,Bobby,Johnson,1976/10/17,CA,Hunter Ltd,us_softball_league
2018/07/15,86,1993,Hawaii,Dawn,Branch,1984/01/10,HI,Rivera-Morrow,us_softball_league
2018/06/11,44,2009,Pennsylvania,Thomas,Porter,1985/04/20,PA,Parker Group,us_softball_league
2018/12/22,39,1978,California,Anthony,Ingram,1968/07/09,CA,"Mullen, Huffman and Vasquez",us_softball_league
2018/04/30,78,2001,Maryland,Andrea,Barajas,1961/04/21,MD,"Kelley, Gilbert and Jackson",us_softball_league
2018/11/18,37,1973,Maine,Jessica,Lowe,1978/04/16,ME,Keller Group,us_softball_league
2018/02/11,83,2011,Colorado,Kenneth,Jacobs,1977/10/23,CO,"Martin, Mcknight and Clark",us_softball_league
2018/04/13,41,2008,Tennessee,Jerry,Wells,1997/06/18,TN,Mcdonald Inc,us_softball_league
2018/10/11,93,1991,Alabama,Richard,Davis,1980/01/07,AL,"Kelley, Gilbert and Jackson",us_softball_league
2018/10/10,74,1993,Oregon,Lisa,Ferguson,1966/06/23,OR,Rivera Ltd,us_softball_league
2018/06/26,67,2009,North Dakota,Tiffany,Collins,1960/11/02,ND,"Kelley, Gilbert and Jackson",us_softball_league
2018/09/12,73,2014,Illinois,Nicholas,Freeman,1962/01/15,IL,"Mullen, Huffman and Vasquez",us_softball_league
2018/03/11,51,2008,Washington,Heather,Davis,1987/05/19,WA,Keller Group,us_softball_league
2018/08/18,93,2018,Louisiana,Jill,Sanchez,1963/08/02,LA,Rivera-Morrow,us_softball_league
2018/07/15,39,1998,Tennessee,Donna,Lee,1997/02/11,TN,Peterson and Sons,us_softball_league
2018/03/18,35,2012,California,Jonathan,Barrera,1971/03/09,CA,"Martin, Mcknight and Clark",us_softball_league
2019/01/07,84,2012,Connecticut,Daniel,Salinas,1981/11/22,CT,Taylor-Alvarez,us_softball_league
2018/10/01,30,1971,Idaho,Kevin,Lamb,1960/05/26,ID,"Jackson, Carlson and Contreras",us_softball_league
2018/09/30,57,2002,Minnesota,Donald,Hanna,1980/08/26,MN,Scott and Sons,us_softball_league
2018/10/04,41,1989,Louisiana,Sara,Campbell,1980/09/25,LA,Parker Group,us_softball_league
2018/06/03,96,1985,Arizona,Robert,Nelson,1983/03/08,AZ,Mcdonald Inc,us_softball_league
2018/07/08,55,1980,Wyoming,Travis,Miller,1990/02/27,WY,Pearson Group,us_softball_league
2018/07/02,54,2007,New Jersey,Sara,Smith,1996/02/10,NJ,Peterson and Sons,us_softball_league
2018/06/19,43,1975,Maine,Melanie,Frey,1998/09/06,ME,Rivera-Morrow,us_softball_league
2018/04/17,36,1991,Oklahoma,Tina,Morton,1962/09/06,OK,Taylor-Alvarez,us_softball_league
2018/10/04,57,1981,Louisiana,Michael,Fisher,1962/08/12,LA,Rivera Ltd,us_softball_league
2018/05/31,60,2010,Tennessee,Brooke,Pacheco,1974/10/23,TN,Peterson and Sons,us_softball_league
